id,name,clouds.all,sys.country,dt,main.humidity,coord.lat,coord.lon,main.temp,wind.speed
637293,Savonlinna,90,FI,1577295654,97,61.87,28.88,31.39,4.7
3404558,Cabedelo,75,BR,1577295654,58,-6.97,-34.84,86.0,17.22
3587498,Acajutla,0,SV,1577295654,47,13.59,-89.83,79.75,4.0
1808880,Hanting,100,CN,1577295655,91,30.92,118.55,48.7,12.64
1732826,Mersing,50,MY,1577295655,77,2.43,103.84,79.79,13.18
151211,Sola,100,TZ,1577295656,93,-3.17,33.8,66.27,8.21
3166595,Sestri Levante,0,IT,1577295656,81,44.27,9.41,49.48,6.93
2265485,Obidos,100,PT,1577295657,82,39.36,-9.16,60.3,8.05
3698304,Chimbote,63,PE,1577295658,61,-9.08,-78.59,75.94,13.96
3427208,Pilar,86,AR,1577295658,46,-34.46,-58.91,71.31,6.93
762863,Ostrowiec Swietokrzyski,100,PL,1577295659,89,50.93,21.39,39.51,3.83
3412093,Vestmannaeyjar,88,IS,1577295659,74,63.44,-20.27,34.88,13.44
3407407,Aquiraz,40,BR,1577295660,55,-3.9,-38.39,86.05,19.46
5699404,Scottsbluff,90,US,1577295660,69,41.87,-103.67,39.52,8.05
1283628,Bhadrapur,0,NP,1577295660,59,26.55,88.09,57.88,0.89
732915,Bregovo,100,BG,1577295661,84,44.15,22.64,41.25,11.48
5229794,Mitchell,90,US,1577295661,92,43.71,-98.03,29.84,9.17
2063039,Port Keats,51,AU,1577295662,81,-14.25,129.55,84.54,9.48
3157549,Finnsnes,14,NO,1577295663,92,69.23,17.98,31.91,5.82
934479,Grand Gaube,75,MU,1577295663,83,-20.01,57.66,80.78,17.22
1625929,Sungaipenuh,100,ID,1577295664,98,-2.08,101.38,63.1,1.25
2015701,Taksimo,0,RU,1577295665,97,56.36,114.84,-32.26,0.85
1634614,Nabire,92,ID,1577295666,96,-3.36,135.5,72.75,1.83
2460954,Araouane,1,ML,1577295666,13,18.9,-3.53,75.2,8.43
2128975,Nemuro,68,JP,1577295668,58,43.32,145.57,25.11,8.08
1852357,Shimoda,75,JP,1577295668,61,34.7,138.93,43.81,5.82
6144312,Sept-Iles,20,CA,1577295670,56,50.2,-66.38,14.54,6.93
777073,Vadso,99,NO,1577295671,92,70.07,29.75,23.0,2.24
2448245,Abalak,0,NE,1577295672,12,15.46,6.28,69.28,11.27
1786640,Yingcheng,90,CN,1577295672,87,30.93,113.57,44.6,4.47
2171085,Coffs Harbour,40,AU,1577295498,93,-30.3,153.13,66.2,2.08
3650053,Yantzaza,20,EC,1577295673,40,-3.83,-78.76,86.0,10.29
1607801,Phanom Sarakham,20,TH,1577295675,88,13.75,101.35,83.61,5.82
2142316,Yeppoon,40,AU,1577295675,88,-23.13,150.74,71.6,6.93
2337542,Naze,0,NG,1577295676,31,5.43,7.07,84.85,1.95
3946937,Azangaro,40,PE,1577295676,46,-14.91,-70.2,66.2,5.82
3443061,Chuy,0,UY,1577295677,52,-33.69,-53.46,81.45,12.21
2122293,Ozernovskiy,100,RU,1577295677,79,51.5,156.52,16.72,22.77
1651591,Amahai,67,ID,1577295678,79,-3.31,129.0,81.97,9.62
1510689,Baykit,100,RU,1577295678,99,61.68,96.39,-5.44,1.54
1512979,Mangit,0,UZ,1577295679,40,40.6,70.96,32.0,4.7
2065594,Mount Isa,64,AU,1577295680,43,-20.73,139.49,87.8,5.82
6145890,Shelburne,90,CA,1577295680,86,44.08,-80.2,33.76,4.38
2160735,Lakes Entrance,0,AU,1577295681,95,-37.88,147.99,55.0,4.47
117656,Ayan,5,IR,1577295681,68,38.23,44.7,25.5,12.46
1633034,Palu,94,ID,1577295682,97,-0.9,119.87,68.09,1.61
559678,Gorodets,70,RU,1577295559,86,56.65,43.48,26.46,4.47
3577430,Road Town,20,VG,1577295626,74,18.42,-64.62,84.38,18.34
1529484,Hami,0,CN,1577295684,52,42.84,93.51,17.29,3.15
53654,Mogadishu,28,SO,1577295684,79,2.04,45.34,80.19,23.71
5851349,Nanakuli,90,US,1577295684,94,21.39,-158.15,76.77,13.87
3148602,Kyrksaeterora,75,NO,1577295685,95,63.29,9.09,30.49,9.17
4267710,Sitka,69,US,1577295685,31,37.17,-99.65,65.01,18.79
3390864,Acari,6,BR,1577295686,30,-6.44,-36.64,94.28,21.34
2108502,Honiara,40,SB,1577295686,94,-9.43,159.96,71.6,2.24
2063042,Port Hedland,51,AU,1577295687,74,-20.31,118.58,87.8,17.22
2112802,Hasaki,75,JP,1577295687,73,35.73,140.83,36.43,5.82
7870153,Kroya,98,ID,1577295688,89,-6.5,108.06,76.48,3.15
86049,Jalu,26,LY,1577295689,64,29.03,21.55,58.51,12.95
4034551,Faanui,66,PF,1577295690,80,-16.48,-151.75,80.2,20.22
72181,Marzuq,0,YE,1577295690,40,14.4,46.47,57.54,1.79
425378,Matara,100,BI,1577295691,95,-3.48,29.48,60.06,1.41
167357,Manbij,75,SY,1577295692,93,36.53,37.96,44.6,2.24
3870282,Talcahuano,17,CL,1577295693,42,-36.72,-73.12,68.0,18.34
739600,Sinop,75,TR,1577295693,100,42.03,35.15,51.8,3.36
3665202,Aripuana,100,BR,1577295694,67,-9.17,-60.63,84.15,5.12
2156643,Mount Gambier,9,AU,1577295694,93,-37.83,140.78,50.0,8.05
5847411,Kahului,40,US,1577295695,78,20.89,-156.47,72.07,6.93
3465713,Conde,11,BR,1577295695,79,-11.81,-37.61,80.42,16.33
204953,Tshikapa,100,CD,1577295695,95,-6.42,20.79,71.78,2.26
2160063,Codrington,40,AU,1577295696,94,-28.95,153.24,68.47,3.36
3899695,Ancud,90,CL,1577295697,82,-41.87,-73.83,55.4,2.24
2127060,Arman,0,RU,1577295697,96,59.7,150.17,-7.49,14.05
